,predicted_mean
2028-04-01,433.78707332620377
2028-05-01,434.43979755672336
2028-06-01,433.7067805544065
2028-07-01,431.9717526087606
2028-08-01,429.92974814231815
2028-09-01,428.48090706190686
2028-10-01,428.77889101413933
2028-11-01,430.370705232068
2028-12-01,431.79600234288364
2029-01-01,432.9810217608641
2029-02-01,433.6683588418181
2029-03-01,434.5921501336776
2029-04-01,436.04419002339756
2029-05-01,436.6966727570214
2029-06-01,435.96392695856423
2029-07-01,434.22954094383385
2029-08-01,432.1882919844137
2029-09-01,430.73998695063125
2029-10-01,431.0378606538549
2029-11-01,432.62908592751853
2029-12-01,434.0538557025747
2030-01-01,435.2384366834672
2030-02-01,435.9255194613578
2030-03-01,436.8489689661059
2030-04-01,438.3004716256918
2030-05-01,438.9527129517696
2030-06-01,438.22023825683124
2030-07-01,436.4864939355129
2030-08-01,434.4460002035902
2030-09-01,432.99823101810847
2030-10-01,433.29599451311356
2030-11-01,434.88663106041145
2030-12-01,436.3108736948135
2031-01-01,437.49501640083236
2031-02-01,438.1818449697473
2031-03-01,439.1049528138394
2031-04-01,440.5559184420573
2031-05-01,441.2079184499059
2031-06-01,440.4757147581826
2031-07-01,438.7426118928606
2031-08-01,436.70287310901404
2031-09-01,435.25563957357826
2031-10-01,435.55329290113997
2031-11-01,437.14334093989095
2031-12-01,438.567056628672
2032-01-01,439.7507612219715
2032-02-01,440.4373356759639
2032-03-01,441.3601019858086
2032-04-01,442.81053078135096
2032-05-01,443.4622895602539
2032-06-01,442.73035677147914
2032-07-01,440.9978951248257
2032-08-01,438.9589110097372
2032-09-01,437.51221292616594
2032-10-01,437.80975612704435
2032-11-01,439.39921587498657
2032-12-01,440.82240481310754
2033-01-01,442.00567145578196
2033-02-01,442.69199188887
2033-03-01,443.6144167908293
2033-04-01,445.06430895231506
2033-05-01,445.71582659152295
2033-06-01,444.9841646054672
2033-07-01,443.25234394024216
2033-08-01,441.2141142146972
2033-09-01,439.7679513848823
2033-10-01,440.0653844998224
2033-11-01,441.6542561746135
2033-12-01,443.0769185569632
2034-01-01,444.2597474110469
2034-02-01,444.94581391721397
2034-03-01,445.8678975376029
2034-04-01,447.31725326357764
2034-05-01,447.9685298523081
2034-06-01,447.23713856877896
2034-07-01,445.50595864783014
2034-08-01,443.4684830327173
2034-09-01,442.022855258624
2034-10-01,442.3201783283558
2034-11-01,443.9084621475729
2034-12-01,445.33059816896804
2035-01-01,446.5129893964352
2035-02-01,447.19880206963
2035-03-01,448.12054453471706
2035-04-01,449.5693640236528
2035-05-01,450.2203996510904
2035-06-01,449.4892789699325
2035-07-01,447.7587395561954
2035-08-01,445.72201777250666
2035-09-01,444.27692485617337
2035-10-01,444.57413792141165
2035-11-01,446.1618341025513
2035-12-01,447.58344395773656
2036-01-01,448.76539772050177
2036-02-01,449.45095665463816
2036-03-01,450.3723580906449
2036-04-01,451.82064154094024
2036-05-01,452.4714362962366
2036-06-01,451.74058611733165
2036-07-01,450.0106869738294
2036-08-01,447.9747187426599
2036-09-01,446.5301604861983
2036-10-01,446.8272635876429
2036-11-01,448.4143723481213
2036-12-01,449.8354562317691
2037-01-01,451.0169726916868
2037-02-01,451.70227798064394
2037-03-01,452.6233385137454
2037-04-01,454.07108612372554
2037-05-01,454.72164009599925
2037-06-01,453.991060319266
2037-07-01,452.2618012091096
2037-08-01,450.22658625165764
2037-09-01,448.78256245725277
2037-10-01,449.07955563558835
2037-11-01,450.6660771927411
2037-12-01,452.08663529945215
2038-01-01,453.267714618317
2038-02-01,453.9527663559393
2038-03-01,454.8734861122637
2038-04-01,456.3206980801805
2038-05-01,456.9710113585172
2038-06-01,456.24070188391147
2038-07-01,454.5120825702993
2038-08-01,452.47762060786647
2038-09-01,451.03413107777635
2038-10-01,451.33101437367264
2038-11-01,452.916948944755
2038-12-01,454.3369814690578
2039-01-01,455.5176238086045
2039-02-01,456.20242208870167
2039-03-01,457.12280119433075
2039-04-01,458.56947771836263
2039-05-01,459.219550391815
2039-06-01,458.48951111932956
2039-07-01,456.7615313655478
2039-08-01,454.72782211953864
2039-09-01,453.28486665609455
